id_smart;name;description;cod_cat_n1_smt;categoria_nivel_1;cod_cat_n2_smt;categoria_nivel_2;marca;formato;precio;image1;image2;image3;empresa;name_tottus;score_tottus;marca_tottus;formato_tottus;precio_tottus;name_lider;score_lider;marca_lider;formato_lider;precio_lider;name_jumbo;score_jumbo;marca_jumbo;formato_jumbo;precio_jumbo;flag_mmpp
L777418;Galletas Rellena Vainilla, 300 g;Galleta Rellena con Crema Great Value, 300g;DYD_001;Desayunos y Dulces;GYC_001;Galletas y Colaciones Dulces;great value;300 g;1990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000333a.jpg]&sink;;;Lider;;;;;;galletas rellena vainilla 300 g great value 300 g;95.0;great value;300 g;1990.0;;;;;;0
L777419;Galletas Fudge Chocolate, 300 g;Galleta Rellena con Crema Great Value, 300g;DYD_001;Desayunos y Dulces;GYC_001;Galletas y Colaciones Dulces;great value;300 g;1990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000335a.jpg]&sink;;;Lider;;;;;;galletas fudge chocolate 300 g great value 300 g;95.0;great value;300 g;1990.0;;;;;;0
L777420;Galletas Rellena Maple, 300 g;no info;DYD_001;Desayunos y Dulces;GYC_001;Galletas y Colaciones Dulces;great value;300 g;1990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000337a.jpg]&sink;;;Lider;;;;;;galletas rellena maple 300 g great value 300 g;95.0;great value;300 g;1990.0;;;;;;0
L694162;Cerveza Amber Lager Lata, 4 Un 473 cc c/u;Cerveza Patagonia Amber Lager Kilometro 24.7, 4Unidades;BYL_001;Bebidas y Licores;CE_001;Cervezas;km 24.7;4 un 473 cc c/u;3850.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000535a.jpg]&sink;;;Lider;;;;;;cerveza amber lager lata 4 473 cc cu km 247 4 473 cc cu;95.0;km 24.7;4 un 473 cc c/u;3850.0;;;;;;0
L694201;Chocolate Ritter Cocoa 74% Perú, 100 g;no info;DYD_001;Desayunos y Dulces;CYC_001;Chocolates y Candy;ritter sport;100 g;2850.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000587a.jpg]&sink;;;Lider;;;;;;chocolate ritter cocoa 74 perú 100 g ritter sport 100 g;95.0;ritter sport;100 g;2850.0;;;;;;0
L694202;Chocolate Ritter Cocoa 61% Nicaragua, 100 g;no info;DYD_001;Desayunos y Dulces;CYC_001;Chocolates y Candy;ritter sport;100 g;2850.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000589a.jpg]&sink;;;Lider;;;;;;chocolate ritter cocoa 61 nicaragua 100 g ritter sport 100 g;95.0;ritter sport;100 g;2850.0;;;;;;0
L694457;Pure De Lúcuma, 500 gr;no info;C_001;Congelados;VYF_001;Verduras y Frutas Congeladas;guallarauco;500 g;4490.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000983a.jpg]&sink;;;Lider;;;;;;pure lúcuma 500 gr guallarauco 500 g;95.0;guallarauco;500 g;4490.0;;;;;;0
L694458;Helado Multipack barra de fruta Sabor Mango libre de sellos, 528 g;no info;C_001;Congelados;H_001;Helados;guallarauco;528 g;5690.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000985a.jpg]&sink;;;Lider;;;;;;helado multipack barra fruta sabor mango libre sellos 528 g guallarauco 528 g;95.0;guallarauco;528 g;5690.0;;;;;;0
L694459;Helado Multipack barra de fruta Sabor Lúcuma Manjar, 528 g;no info;C_001;Congelados;H_001;Helados;guallarauco;528 g;5690.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000987a.jpg]&sink;;;Lider;;;;;;helado multipack barra fruta sabor lúcuma manjar 528 g guallarauco 528 g;95.0;guallarauco;528 g;5690.0;;;;;;0
L694460;Helado Multipack barra de fruta Sabor Frambuesa libre de sellos, 528 g;no info;C_001;Congelados;H_001;Helados;guallarauco;528 g;5690.0;https://images.lider.cl/wmtcl?source=url[file:/productos/1000989a.jpg]&sink;;;Lider;;;;;;helado multipack barra fruta sabor frambuesa libre sellos 528 g guallarauco 528 g;95.0;guallarauco;528 g;5690.0;;;;;;0
